"Lower Bound","Upper Bound","Value"
"0.0","","0.0017492054196986823"
"1.0","5.0","0.00454317626728922"
"6.0","10.0","0.005723583697554893"
"11.0","15.0","0.006070660284717816"
"16.0","20.0","0.006161401519063975"
"21.0","25.0","0.006093112683357055"
"26.0","30.0","0.00586639675472799"
"31.0","35.0","0.00556484517189866"
"36.0","40.0","0.005314658753817552"
"41.0","45.0","0.005186200448867237"
"46.0","50.0","0.0051803658141875335"
"51.0","55.0","0.0052217706027163115"
"56.0","60.0","0.005271418105770475"
"61.0","65.0","0.005275056448410697"
"66.0","70.0","0.005285187139209258"
"71.0","75.0","0.0052653724510607494"
"76.0","80.0","0.005212168735739993"
"81.0","85.0","0.005107580880596235"
"86.0","90.0","0.005054019990056548"
"91.0","95.0","0.004999244684060686"
"96.0","100.0","0.004904706951477276"
"101.0","110.0","0.009435043006150261"
"111.0","120.0","0.009298846562376102"
"121.0","130.0","0.008782026286723844"
"131.0","140.0","0.008686879616638223"
"141.0","150.0","0.008123324505618429"
"151.0","160.0","0.007998278347432575"
"161.0","170.0","0.007481249309244998"
"171.0","180.0","0.007346302826912711"
"181.0","190.0","0.007043145384666523"
"191.0","200.0","0.006810467586271873"
"201.0","250.0","0.03144870706336163"
"251.0","300.0","0.029051477288475732"
"301.0","350.0","0.02726524881881844"
"351.0","400.0","0.026390253447871923"
"401.0","450.0","0.024176647025764407"
"451.0","500.0","0.02414761199746812"
"501.0","600.0","0.044118476134533555"
"601.0","700.0","0.03931581222582698"
"701.0","800.0","0.037334036570186024"
"801.0","900.0","0.0353465880777352"
"901.0","1000.0","0.03156293068905096"
"1001.0","1250.0","0.07477483190279036"
"1251.0","1500.0","0.052231860875452986"
"1501.0","1750.0","0.04686975265005765"
"1751.0","2000.0","0.04148377850853994"
"2001.0","2250.0","0.03219754132283221"
"2251.0","2500.0","0.05131028808505283"
"2501.0","2750.0","0.016637697380530142"
"2751.0","3000.0","0.14428076369933662"
