"Lower Bound","Upper Bound","Value"
"0.0","","0.008634104801405253"
"1.0","4.0","0.03418097858201299"
"5.0","9.0","0.04675828918865808"
"10.0","19.0","0.0893224273738696"
"20.0","29.0","0.07898507983844266"
"30.0","39.0","0.07145502342435536"
"40.0","49.0","0.06612889068371242"
"50.0","59.0","0.052643241784679384"
"60.0","69.0","0.04899642717212672"
"70.0","79.0","0.04543430193808479"
"80.0","89.0","0.036640169621289055"
"90.0","99.0","0.04151470589183717"
"100.0","124.0","0.07074638179385521"
"125.0","149.0","0.05216530144740412"
"150.0","174.0","0.04416962327531302"
"175.0","199.0","0.03691242643062133"
"200.0","224.0","0.0303465180374424"
"225.0","249.0","0.02348452943304996"
"250.0","274.0","0.017696668973071844"
"275.0","299.0","0.016577307190607442"
"300.0","324.0","0.015265046388336333"
"325.0","349.0","0.012322390503515334"
"350.0","374.0","0.00995430997147952"
"375.0","399.0","0.007191335331106587"
"400.0","424.0","0.007239995115708007"
"425.0","449.0","0.0055248718076958865"
"450.0","474.0","0.004875301620177105"
"475.0","499.0","0.004101362452810115"
"500.0","549.0","0.005053960797093749"
"550.0","599.0","0.0034586910749567572"
"600.0","649.0","0.0040263527228163115"
"650.0","699.0","0.002018289672187826"
"700.0","749.0","0.0017239722478385926"
"750.0","799.0","0.0012082113482288985"
"800.0","849.0","5.199874234746955E-4"
"850.0","899.0","4.7692152570396663E-4"
"900.0","949.0","9.736004528477575E-4"
"950.0","999.0","3.84903980586759E-4"
"1000.0","1249.0","6.33450206568694E-4"
"1250.0","1499.0","1.8947748034468627E-4"
"1500.0","1749.0","4.6294787018780015E-5"
"1750.0","1999.0","9.938444261027253E-6"
"2000.0","2249.0","5.355391954064663E-6"
"2250.0","2499.0","1.5452576548729161E-6"
"2500.0","2749.0","1.1143636290228067E-6"
"2750.0","2999.0","9.22750165668154E-7"
