TQ,NDI,C,RDP,DPQ,OU,DFT,DFO
4,121,3,67,2,2,168,10
5,1561,3,11,2,1,1414,47
2,33,4,39,2,3,36,25
2,197,4,3,3,3,99,70
2,2755,5,9,2,2,1382,691
3,2980,2,121,3,5,2174,461
4,358,2,100,3,3,411,32
2,439,2,66,3,4,252,227
3,247,4,102,3,5,244,94
3,2318,2,17,4,4,1633,630
3,410,3,247,4,5,459,178
2,373,4,34,3,4,203,183
4,2892,2,28,2,3,2623,208
4,2721,4,61,3,3,2504,194
4,408,1,237,2,1,580,19
3,2851,5,246,3,5,2164,279
5,2792,3,288,3,4,2162,826
3,1948,2,266,2,2,1549,332
2,163,5,21,3,1,91,27
2,2307,4,174,2,4,1239,1118
2,826,3,52,4,2,439,219
2,594,3,42,2,5,317,159
1,576,3,164,3,5,221,259
2,791,3,3,3,2,396,198
3,786,5,78,3,2,603,130
4,27,4,240,2,4,239,25
3,828,2,80,3,1,636,81
4,1827,4,2,4,1,1644,55
1,191,4,181,3,3,111,182
2,2768,4,155,4,1,1460,441
3,2279,3,169,3,2,1713,367
3,75,1,53,2,2,89,19
4,84,3,125,3,2,188,10
4,229,2,34,2,2,236,13
4,314,3,329,2,2,577,33
3,510,3,117,3,3,438,132
2,2130,4,309,3,4,1221,1096
3,2848,3,162,3,4,2104,814
5,1469,4,17,3,5,1040,401
2,78,5,125,3,5,101,91
2,1694,2,114,3,2,905,452
2,1962,3,428,3,3,1196,834
3,2396,4,82,3,1,1739,221
3,2992,3,151,4,4,2198,850
4,1576,3,77,3,4,1490,146
4,27,4,11,2,2,34,1
3,2812,5,220,3,3,2128,633
4,708,5,38,3,4,669,69
4,728,5,118,3,1,760,25
2,348,1,84,2,2,216,107
4,179,3,90,3,5,242,13
1,496,4,49,2,3,163,268
1,1267,4,13,2,4,386,805
3,303,3,79,2,3,267,80
3,851,2,7,2,4,601,231
2,248,5,112,3,2,180,89
1,545,3,697,3,4,372,782
2,2825,3,65,3,4,1443,1301
2,440,2,14,3,1,226,68
1,2800,4,159,3,1,891,617
3,120,4,192,3,2,218,47
2,549,2,19,4,5,284,141
2,557,4,95,2,2,325,163
2,2964,4,125,2,4,1541,1393
3,1906,2,55,2,5,1371,531
4,998,3,26,3,3,921,72
3,2751,2,15,2,4,1933,750
3,2955,4,22,4,2,2082,447
4,182,2,55,4,3,213,16
5,577,2,337,2,2,821,46
4,113,1,120,3,2,209,11
2,2252,4,66,2,5,1159,579
3,1132,5,109,3,3,868,260
3,328,3,30,3,5,250,75
4,61,2,254,3,1,283,9
3,2985,3,55,4,3,2126,639
3,84,4,58,3,5,99,30
3,2969,5,170,2,1,2199,283
4,1188,5,107,3,2,1166,64
2,761,4,68,3,2,414,208
3,1639,2,43,2,1,1175,151
2,397,2,125,3,3,260,183
3,192,5,30,3,4,155,60
4,1604,3,48,3,2,1489,81
3,1088,5,21,3,5,778,165
4,30,5,176,3,5,185,10
4,2458,3,58,3,3,2267,174
2,562,3,18,3,5,290,203
4,151,2,56,4,1,186,6
4,2858,1,142,3,5,2702,89
2,2902,2,9,3,3,1453,1021
2,873,4,2,2,4,438,393
4,1583,5,1563,3,4,2828,286
3,42,1,60,3,3,71,21
3,915,2,2,3,4,642,248
2,318,4,1,2,2,159,80
4,2949,1,70,3,3,2720,209
3,1026,3,326,4,3,947,283
3,251,3,62,2,3,218,66
2,511,3,115,3,5,313,219
4,1807,2,16,4,3,1639,128
4,963,2,76,3,1,934,31
3,632,5,105,2,5,515,66
4,1124,4,15,3,2,1023,58
2,2815,4,417,4,1,1619,481
3,235,4,9,4,1,170,22
4,63,1,75,3,1,124,4
3,129,3,13,3,1,99,12
4,121,3,16,3,2,123,7
4,2846,5,77,4,1,2635,86
4,312,2,359,4,1,604,20
3,2884,3,181,3,2,2145,460
3,245,4,85,3,2,231,49
4,1502,2,103,3,2,1446,79
2,1108,2,78,3,3,591,415
5,307,4,397,2,5,352,246
3,2990,4,42,3,5,2120,638
2,2704,3,29,4,1,1366,413
3,1511,3,44,4,4,1087,421
3,1534,5,224,2,5,1230,474
3,1688,3,74,3,4,1234,474
3,681,5,41,3,3,506,151
3,1378,2,120,3,1,1049,134
2,1169,2,123,2,5,645,193
2,2471,4,58,3,3,1266,884
2,539,3,2,4,5,270,189
2,43,5,271,4,5,156,110
2,1394,4,125,3,5,757,533
3,730,2,10,3,4,518,199
3,714,1,60,2,1,542,69
5,1880,2,69,4,3,1364,408
2,534,1,12,3,4,272,246
4,1552,2,3,2,2,1399,78
2,2268,4,431,4,5,1347,675
2,216,1,93,3,2,154,77
3,2954,4,62,3,1,2114,272
3,616,3,17,3,5,444,56
4,592,2,119,2,5,638,21
2,1499,4,104,3,2,804,398
4,1138,4,17,2,4,1037,106
3,2940,4,35,3,2,2081,448
2,751,5,261,3,2,507,252
5,492,4,59,3,3,275,193
5,863,3,21,3,3,443,308
3,331,4,651,3,5,687,205
4,1174,5,44,3,1,1096,36
4,257,4,112,2,1,332,11
5,1645,5,27,4,5,1505,50
2,38,4,25,3,4,31,28
3,59,3,48,3,4,74,29
2,498,2,10,4,5,254,228
4,1425,4,10,3,1,1289,43
4,527,4,245,4,4,693,71
3,22,1,24,3,4,32,12
3,970,3,68,3,2,727,155
5,863,2,3,3,3,606,182
3,2448,2,33,2,1,1738,222
3,2945,4,15,2,5,2073,265
5,24,1,53,3,3,53,16
3,1287,3,119,3,1,984,126
3,185,5,382,3,2,397,84
5,2467,4,162,2,5,1841,394
2,341,3,116,4,2,228,114
3,294,3,50,4,1,241,30
4,2792,4,11,3,5,2524,83
3,1122,5,395,3,3,1063,318
4,346,4,67,3,1,371,12
2,53,5,126,2,1,89,27
2,191,3,208,2,1,199,59
4,54,4,322,3,4,338,34
3,115,4,316,3,2,302,64
5,1625,5,204,2,1,1279,165
3,1405,2,155,2,2,1090,235
4,489,3,181,3,3,602,47
2,1803,4,110,2,4,955,862
4,222,3,208,4,2,386,21
2,1704,5,434,3,2,1068,534
4,2859,4,143,3,3,2699,211
3,1072,3,117,3,5,832,250
4,1183,5,215,3,5,1257,98
3,314,3,29,3,1,240,30
3,1275,3,73,4,1,941,122
4,2098,4,198,3,5,2063,69
4,1163,1,87,4,4,1127,110
2,272,5,23,3,3,147,103
2,1751,4,166,3,1,956,287
2,1071,4,42,3,5,556,167
3,2854,2,56,3,4,2038,784
2,1191,2,18,4,2,604,302
3,541,2,59,4,3,419,126
3,159,3,175,4,2,233,50
4,1665,3,91,3,2,1579,87
3,519,2,34,3,4,386,150
3,250,4,51,4,2,210,45
3,181,4,141,3,2,225,48
3,396,3,243,3,1,447,57
1,535,4,172,3,1,211,149
5,177,1,68,2,4,73,154
3,823,4,73,3,3,625,190
3,150,3,343,3,4,344,133
3,1467,2,75,4,1,1077,139
2,165,2,99,3,5,131,39
4,275,2,121,3,5,356,12
2,565,3,169,3,5,366,111
