TQ,DPQ,C,OU,DI,DFT,RD,DFO,DPQ2,C2,TQ2,OU2,DI2,DFT2,RD2,DFO2,DPQ3,C3,TQ3,OU3,DI3,DFT3,RD3,DFO3
0,4,3,0,4,0,4,0,4,3,0,0,4,0,4,0,4,3,0,0,4,0,4,0
1,1,4,3,29,8,21,14,1,4,1,3,21,6,15,10,1,4,1,3,15,4,11,7
3,4,2,0,21,14,7,0,4,2,3,0,7,4,3,0,4,2,3,0,3,2,1,0
0,4,1,1,1,0,1,0,4,1,0,1,1,0,1,0,4,1,0,1,1,0,1,0
4,4,0,1,10,9,1,0,4,0,4,1,1,0,1,0,4,0,4,1,1,0,1,0
4,1,4,2,34,32,2,0,1,4,4,2,2,1,1,0,1,4,4,2,1,0,1,0
1,1,1,2,0,0,0,0,1,1,1,2,0,0,0,0,1,1,1,2,0,0,0,0
1,3,2,3,4,1,3,2,3,2,1,3,3,0,3,2,3,2,1,3,3,0,3,2
2,3,2,3,23,9,14,9,3,2,2,3,14,5,9,6,3,2,2,3,9,3,6,4
1,1,0,0,4,1,3,0,1,0,1,0,3,0,3,0,1,0,1,0,3,0,3,0
2,4,4,3,0,0,0,0,4,4,2,3,0,0,0,0,4,4,2,3,0,0,0,0
4,1,1,2,6,5,1,0,1,1,4,2,1,0,1,0,1,1,4,2,1,0,1,0
2,0,2,4,30,11,19,18,0,2,2,4,19,7,12,11,0,2,2,4,12,4,8,7
1,3,4,3,15,4,11,7,3,4,1,3,11,3,8,5,3,4,1,3,8,2,6,4
3,3,4,0,19,13,6,0,3,4,3,0,6,4,2,0,3,4,3,0,2,1,1,0
4,4,2,2,20,19,1,0,4,2,4,2,1,0,1,0,4,2,4,2,1,0,1,0
2,3,0,3,1,0,1,0,3,0,2,3,1,0,1,0,3,0,2,3,1,0,1,0
2,3,0,4,21,8,13,12,3,0,2,4,13,5,8,7,3,0,2,4,8,3,5,4
1,1,3,0,36,10,26,2,1,3,1,0,26,7,19,1,1,3,1,0,19,5,14,1
3,4,4,2,1,0,1,0,4,4,3,2,1,0,1,0,4,4,3,2,1,0,1,0
3,2,1,2,14,9,5,2,2,1,3,2,5,3,2,0,2,1,3,2,2,1,1,0
4,1,2,3,9,8,1,0,1,2,4,3,1,0,1,0,1,2,4,3,1,0,1,0
1,4,2,4,10,2,8,7,4,2,1,4,8,2,6,5,4,2,1,4,6,1,5,4
2,3,2,4,16,6,10,9,3,2,2,4,10,3,7,6,3,2,2,4,7,2,5,4
4,0,1,3,15,14,1,0,0,1,4,3,1,0,1,0,0,1,4,3,1,0,1,0
2,3,0,2,7,2,5,1,3,0,2,2,5,2,3,1,3,0,2,2,3,1,2,0
4,0,2,3,35,33,2,1,0,2,4,3,2,1,1,0,0,2,4,3,1,0,1,0
4,3,1,3,12,11,1,0,3,1,4,3,1,0,1,0,3,1,4,3,1,0,1,0
4,2,2,4,26,24,2,1,2,2,4,4,2,1,1,0,2,2,4,4,1,0,1,0
3,1,4,0,39,27,12,1,1,4,3,0,12,8,4,0,1,4,3,0,4,2,2,0
3,1,3,1,36,25,11,3,1,3,3,1,11,7,4,1,1,3,3,1,4,2,2,0
0,4,0,0,26,2,24,2,4,0,0,0,24,2,22,2,4,0,0,0,22,2,20,2
4,2,3,2,33,31,2,0,2,3,4,2,2,1,1,0,2,3,4,2,1,0,1,0
2,0,2,3,29,11,18,12,0,2,2,3,18,7,11,7,0,2,2,3,11,4,7,4
1,2,4,0,31,9,22,2,2,4,1,0,22,6,16,1,2,4,1,0,16,4,12,1
0,3,3,4,27,2,25,23,3,3,0,4,25,2,23,21,3,3,0,4,23,2,21,19
3,1,2,0,24,16,8,0,1,2,3,0,8,5,3,0,1,2,3,0,3,2,1,0
1,1,1,3,19,5,14,9,1,1,1,3,14,4,10,7,1,1,1,3,10,3,7,4
3,0,1,3,15,10,5,3,0,1,3,3,5,3,2,1,0,1,3,3,2,1,1,0
3,4,0,0,20,14,6,0,4,0,3,0,6,4,2,0,4,0,3,0,2,1,1,0
1,0,2,3,34,10,24,16,0,2,1,3,24,7,17,11,0,2,1,3,17,5,12,8
1,4,1,3,2,0,2,1,4,1,1,3,2,0,2,1,4,1,1,3,2,0,2,1
3,1,3,1,26,18,8,2,1,3,3,1,8,5,3,0,1,3,3,1,3,2,1,0
0,4,3,2,9,0,9,3,4,3,0,2,9,0,9,3,4,3,0,2,9,0,9,3
0,0,3,0,37,3,34,3,0,3,0,0,34,3,31,3,0,3,0,0,31,3,28,2
1,0,0,2,3,0,3,1,0,0,1,2,3,0,3,1,0,0,1,2,3,0,3,1
3,0,4,2,32,22,10,3,0,4,3,2,10,6,4,1,0,4,3,2,4,2,2,0
4,3,1,3,5,4,1,0,3,1,4,3,1,0,1,0,3,1,4,3,1,0,1,0
4,4,0,4,24,22,2,1,4,0,4,4,2,1,1,0,4,0,4,4,1,0,1,0
2,2,3,2,30,11,19,7,2,3,2,2,19,7,12,4,2,3,2,2,12,4,8,3
0,4,1,1,7,0,7,2,4,1,0,1,7,0,7,2,4,1,0,1,7,0,7,2
2,4,2,2,21,8,13,5,4,2,2,2,13,5,8,3,4,2,2,2,8,3,5,2
2,0,0,2,5,1,4,1,0,0,2,2,4,1,3,1,0,0,2,2,3,1,2,0
3,4,3,4,15,10,5,4,4,3,3,4,5,3,2,1,4,3,3,4,2,1,1,0
0,3,2,0,14,1,13,1,3,2,0,0,13,1,12,1,3,2,0,0,12,1,11,1
2,1,4,1,34,13,21,6,1,4,2,1,21,8,13,3,1,4,2,1,13,5,8,2
3,0,3,3,39,27,12,8,0,3,3,3,12,8,4,2,0,3,3,3,4,2,2,1
1,1,3,3,33,9,24,16,1,3,1,3,24,7,17,11,1,3,1,3,17,5,12,8
1,1,3,2,30,9,21,8,1,3,1,2,21,6,15,6,1,3,1,2,15,4,11,4
3,4,3,0,7,4,3,0,4,3,3,0,3,2,1,0,4,3,3,0,1,0,1,0
4,4,3,0,25,23,2,0,4,3,4,0,2,1,1,0,4,3,4,0,1,0,1,0
3,0,3,1,33,23,10,3,0,3,3,1,10,6,4,1,0,3,3,1,4,2,2,0
2,0,1,1,20,8,12,3,0,1,2,1,12,4,8,2,0,1,2,1,8,3,5,1
3,0,1,2,28,19,9,3,0,1,3,2,9,6,3,1,0,1,3,2,3,2,1,0
4,3,2,1,17,16,1,0,3,2,4,1,1,0,1,0,3,2,4,1,1,0,1,0
4,2,3,2,27,25,2,0,2,3,4,2,2,1,1,0,2,3,4,2,1,0,1,0
1,1,4,2,35,10,25,9,1,4,1,2,25,7,18,7,1,4,1,2,18,5,13,5
2,2,3,1,7,2,5,1,2,3,2,1,5,1,4,1,2,3,2,1,4,1,3,0
0,4,2,1,17,1,16,4,4,2,0,1,16,1,15,4,4,2,0,1,15,1,14,4
4,3,4,0,11,10,1,0,3,4,4,0,1,0,1,0,3,4,4,0,1,0,1,0
4,1,1,4,11,10,1,0,1,1,4,4,1,0,1,0,1,1,4,4,1,0,1,0
0,2,3,2,19,1,18,7,2,3,0,2,18,1,17,6,2,3,0,2,17,1,16,6
4,0,4,2,38,36,2,0,0,4,4,2,2,1,1,0,0,4,4,2,1,0,1,0
2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,0
2,0,2,1,25,9,16,4,0,2,2,1,16,6,10,3,0,2,2,1,10,3,7,2
3,2,0,3,9,6,3,2,2,0,3,3,3,2,1,0,2,0,3,3,1,0,1,0
0,1,1,4,4,0,4,3,1,1,0,4,4,0,4,3,1,1,0,4,4,0,4,3
3,0,1,2,10,7,3,1,0,1,3,2,3,2,1,0,0,1,3,2,1,0,1,0
0,4,2,4,18,1,17,16,4,2,0,4,17,1,16,15,4,2,0,4,16,1,15,14
0,2,4,2,34,3,31,12,2,4,0,2,31,3,28,11,2,4,0,2,28,2,26,10
0,1,1,3,14,1,13,9,1,1,0,3,13,1,12,8,1,1,0,3,12,1,11,7
2,4,4,2,5,1,4,1,4,4,2,2,4,1,3,1,4,4,2,2,3,1,2,0
4,3,3,3,29,27,2,1,3,3,4,3,2,1,1,0,3,3,4,3,1,0,1,0
1,4,4,1,9,2,7,2,4,4,1,1,7,2,5,1,4,4,1,1,5,1,4,1
0,2,1,3,22,2,20,13,2,1,0,3,20,1,19,13,2,1,0,3,19,1,18,12
2,3,4,0,6,2,4,0,3,4,2,0,4,1,3,0,3,4,2,0,3,1,2,0
3,2,2,4,14,9,5,4,2,2,3,4,5,3,2,1,2,2,3,4,2,1,1,0
4,2,2,4,31,29,2,1,2,2,4,4,2,1,1,0,2,2,4,4,1,0,1,0
4,4,4,3,13,12,1,0,4,4,4,3,1,0,1,0,4,4,4,3,1,0,1,0
4,2,0,4,0,0,0,0,2,0,4,4,0,0,0,0,2,0,4,4,0,0,0,0
4,4,2,1,18,17,1,0,4,2,4,1,1,0,1,0,4,2,4,1,1,0,1,0
3,2,3,2,37,25,12,4,2,3,3,2,12,8,4,1,2,3,3,2,4,2,2,0
2,0,1,2,13,5,8,3,0,1,2,2,8,3,5,2,0,1,2,2,5,1,4,1
2,2,4,1,28,11,17,5,2,4,2,1,17,6,11,3,2,4,2,1,11,4,7,2
2,3,4,1,20,8,12,3,3,4,2,1,12,4,8,2,3,4,2,1,8,3,5,1
2,1,1,3,14,5,9,6,1,1,2,3,9,3,6,4,1,1,2,3,6,2,4,2
2,1,2,3,33,13,20,14,1,2,2,3,20,8,12,8,1,2,2,3,12,4,8,5
4,3,4,2,8,7,1,0,3,4,4,2,1,0,1,0,3,4,4,2,1,0,1,0
1,2,4,2,30,8,22,8,2,4,1,2,22,6,16,6,2,4,1,2,16,4,12,4
4,3,4,0,5,4,1,0,3,4,4,0,1,0,1,0,3,4,4,0,1,0,1,0
4,2,2,4,14,13,1,0,2,2,4,4,1,0,1,0,2,2,4,4,1,0,1,0
2,0,3,1,34,13,21,6,0,3,2,1,21,8,13,3,0,3,2,1,13,5,8,2
3,4,0,3,13,9,4,2,4,0,3,3,4,2,2,1,4,0,3,3,2,1,1,0
2,3,2,4,14,5,9,8,3,2,2,4,9,3,6,5,3,2,2,4,6,2,4,3
2,1,3,4,13,5,8,7,1,3,2,4,8,3,5,4,1,3,2,4,5,1,4,3
0,3,0,1,1,0,1,0,3,0,0,1,1,0,1,0,3,0,0,1,1,0,1,0
0,4,2,2,7,0,7,2,4,2,0,2,7,0,7,2,4,2,0,2,7,0,7,2
1,0,2,3,39,11,28,19,0,2,1,3,28,8,20,14,0,2,1,3,20,5,15,10
3,4,2,2,12,8,4,1,4,2,3,2,4,2,2,0,4,2,3,2,2,1,1,0
2,2,2,4,12,4,8,7,2,2,2,4,8,3,5,4,2,2,2,4,5,1,4,3
4,0,4,0,39,37,2,0,0,4,4,0,2,1,1,0,0,4,4,0,1,0,1,0
3,2,2,0,15,10,5,0,2,2,3,0,5,3,2,0,2,2,3,0,2,1,1,0
2,0,4,4,26,10,16,15,0,4,2,4,16,6,10,9,0,4,2,4,10,3,7,6
0,2,3,4,21,2,19,18,2,3,0,4,19,1,18,17,2,3,0,4,18,1,17,16
3,1,1,4,10,7,3,2,1,1,3,4,3,2,1,0,1,1,3,4,1,0,1,0
4,2,0,2,4,3,1,0,2,0,4,2,1,0,1,0,2,0,4,2,1,0,1,0
2,0,4,1,35,13,22,6,0,4,2,1,22,8,14,4,0,4,2,1,14,5,9,2
3,1,4,1,39,27,12,3,1,4,3,1,12,8,4,1,1,4,3,1,4,2,2,0
1,2,4,3,19,5,14,9,2,4,1,3,14,4,10,7,2,4,1,3,10,3,7,4
0,0,3,1,27,2,25,7,0,3,0,1,25,2,23,6,0,3,0,1,23,2,21,6
0,1,3,1,26,2,24,7,1,3,0,1,24,2,22,6,1,3,0,1,22,2,20,6
4,3,4,4,17,16,1,0,3,4,4,4,1,0,1,0,3,4,4,4,1,0,1,0
