TQ,DPQ,C,OU,DI,DFT,RD,DFO,DPQ2,C2,TQ2,OU2,DI2,DFT2,RD2,DFO2,DPQ3,C3,TQ3,OU3,DI3,DFT3,RD3,DFO3
1,4,2,0,5,1,4,0,4,2,1,0,4,1,3,0,4,2,1,0,3,0,3,0
1,2,4,2,10,2,8,4,2,4,1,2,8,2,6,2,2,4,1,2,6,1,5,2
3,2,0,2,13,9,4,2,2,0,3,2,4,2,2,0,2,0,3,2,2,1,1,0
0,0,4,0,28,2,26,2,0,4,0,0,26,2,24,2,0,4,0,0,24,2,22,2
2,1,4,0,29,14,15,1,1,4,2,0,15,7,8,0,1,4,2,0,8,4,4,0
4,4,0,3,0,0,0,0,4,0,4,3,0,0,0,0,4,0,4,3,0,0,0,0
1,4,2,4,1,0,1,0,4,2,1,4,1,0,1,0,4,2,1,4,1,0,1,0
2,1,1,4,22,11,11,9,1,1,2,4,11,5,6,5,1,1,2,4,6,3,3,2
2,1,2,3,16,8,8,5,1,2,2,3,8,4,4,2,1,2,2,3,4,2,2,1
3,4,0,4,3,2,1,0,4,0,3,4,1,0,1,0,4,0,3,4,1,0,1,0
3,1,1,3,9,6,3,2,1,1,3,3,3,2,1,0,1,1,3,3,1,0,1,0
0,3,2,0,11,1,10,1,3,2,0,0,10,1,9,0,3,2,0,0,9,0,9,0
1,4,1,0,5,1,4,0,4,1,1,0,4,1,3,0,4,1,1,0,3,0,3,0
1,4,0,1,0,0,0,0,4,0,1,1,0,0,0,0,4,0,1,1,0,0,0,0
2,3,2,3,6,3,3,2,3,2,2,3,3,1,2,1,3,2,2,3,2,0,2,1
4,1,0,3,13,11,2,1,1,0,4,3,2,1,1,0,1,0,4,3,1,0,1,0
2,4,1,0,4,2,2,0,4,1,2,0,2,0,2,0,4,1,2,0,2,0,2,0
0,1,2,0,15,1,14,1,1,2,0,0,14,1,13,1,1,2,0,0,13,1,12,1
1,1,3,2,16,4,12,6,1,3,1,2,12,3,9,4,1,3,1,2,9,2,7,3
1,0,0,2,4,1,3,1,0,0,1,2,3,0,3,1,0,0,1,2,3,0,3,1
2,3,3,4,6,2,4,3,3,3,2,4,4,1,3,2,3,3,2,4,3,1,2,1
2,1,2,2,21,10,11,5,1,2,2,2,11,5,6,3,1,2,2,2,6,3,3,1
1,0,4,4,28,8,20,18,0,4,1,4,20,6,14,12,0,4,1,4,14,4,10,8
3,1,3,1,26,18,8,2,1,3,3,1,8,5,3,0,1,3,3,1,3,2,1,0
0,4,3,4,8,0,8,7,4,3,0,4,8,0,8,7,4,3,0,4,8,0,8,7
1,4,3,0,2,0,2,0,4,3,1,0,2,0,2,0,4,3,1,0,2,0,2,0
2,0,1,3,20,10,10,6,0,1,2,3,10,4,6,4,0,1,2,3,6,2,4,2
3,0,1,3,10,6,4,2,0,1,3,3,4,2,2,1,0,1,3,3,2,1,1,0
0,2,0,3,4,0,4,2,2,0,0,3,4,0,4,2,2,0,0,3,4,0,4,2
4,2,0,1,12,10,2,0,2,0,4,1,2,1,1,0,2,0,4,1,1,0,1,0
3,1,2,0,20,14,6,0,1,2,3,0,6,4,2,0,1,2,3,0,2,1,1,0
2,1,1,3,7,3,4,2,1,1,2,3,4,2,2,1,1,1,2,3,2,0,2,1
2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0
